path,stem,title,link,slug,category_title,category_slug,source_type,length,matched_categories,preview
llm-wikid\raw\articles\待细分\ 基于无人机的大豆冠层叶片倾角田间提取框架.md, 基于无人机的大豆冠层叶片倾角田间提取框架,基于无人机的大豆冠层叶片倾角田间提取框架,[[ 基于无人机的大豆冠层叶片倾角田间提取框架]],基于无人机的大豆冠层叶片倾角田间提取框架,AI for Research,ai_for_research,notes,8448,AI for Research; Career and Business Ideas; Plant Phenotyping and Imaging,基于无人机的大豆冠层叶片倾角田间提取框架 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0Mjg5ODI1Ng==&mid=2247546448&idx=1&sn=76904c2ff7fb0fb37a1726be960c914b&chksm=e838528d324b9d466eb25563301d6492b3e213c2728c3b2b245a928d1f3e2533e2d0f
llm-wikid\raw\articles\待细分\Science Advances特邀作者第一视角解读最新研究 高温脆弱性是全球变暖导致水稻减产的关键｜北京大学周丰和王旭辉团队联合发表Science Advances.md,Science Advances特邀作者第一视角解读最新研究 高温脆弱性是全球变暖导致水稻减产的关键｜北京大学周丰和王旭辉团队联合发表Science Advances,高温脆弱性是全球变暖导致水稻减产的关键｜北京大学周丰和王旭辉团队联合发表Science Advances,[[Science Advances特邀作者第一视角解读最新研究 高温脆弱性是全球变暖导致水稻减产的关键｜北京大学周丰和王旭辉团队联合发表Science Advances]],science-advances特邀作者第一视角解读最新研究-高温脆弱性是全球变暖导致水稻减产的关键-北京大学周丰和王旭辉团队联合发表science-advan,AI for Research,ai_for_research,article,3783,AI for Research; Research Tools and Methods; Maize Yield and Breeding,高温脆弱性是全球变暖导致水稻减产的关键｜北京大学周丰和王旭辉团队联合发表Science Advances 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI3NDY3NzQ2Mg==&mid=2247527045&idx=1&sn=0f77eafbfb5f355a92596dae2b71bac6&chksm=eadcce7c6ce77d4f9e7ecd1601749812d8700
llm-wikid\raw\articles\待细分\数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，....md,数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，...,Trends in Plant Science| 美国亚利桑那大学揭示植物数字孪生技术如何跨尺度推动作物品种改良,[[数字孪生是动态虚拟模型，通过持续数据反馈实现与实物同步演化。美国亚利桑那大学等机构在Trends Plant Sci发文，提出以功能-结构模型为核心，融合AI与多源数据，构建跨尺度植物数字孪生，...]],数字孪生是动态虚拟模型-通过持续数据反馈实现与实物同步演化-美国亚利桑那大学等机构在trends-plant-sci发文-提出以功能-结构模型为核心-融合ai与,AI for Research,ai_for_research,article,9722,AI for Research; Plant Phenotyping and Imaging; Career and Business Ideas; Maize Yield and Breeding; Research Tools and Methods,Trends in Plant Science| 美国亚利桑那大学揭示植物数字孪生技术如何跨尺度推动作物品种改良 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0MDI5NjM2NA==&mid=2247521307&idx=1&sn=741663e2dc3415d75ad84a359a5546ac&chksm=e828cc83bf17e6d223338490edf901ee4
llm-wikid\raw\articles\待细分\这2款电脑神器，装了才算会用 这2款电脑神器，装了才算会用.md,这2款电脑神器，装了才算会用 这2款电脑神器，装了才算会用,这2款电脑神器，装了才算会用,[[这2款电脑神器，装了才算会用 这2款电脑神器，装了才算会用]],这2款电脑神器-装了才算会用-这2款电脑神器-装了才算会用,AI for Research,ai_for_research,notes,2454,AI for Research,这2款电脑神器，装了才算会用 笔记同步助手 来源 [原文链接](https://www.xiaohongshu.com/discovery/item/6a858608000000002201542c?app_platform=android&ignoreEngage=true&app_version=9.43.1&share_from_user_hidden=true&xsec_source=app_share&type=normal&
llm-wikid\raw\articles\待细分\这场由 Kimi K3 引发的“开源 vs 闭源”路线之争，或许才刚刚开始。 黄仁勋人生首条推文力挺开源，“Kimi恐慌”成为风暴眼.md,这场由 Kimi K3 引发的“开源 vs 闭源”路线之争，或许才刚刚开始。 黄仁勋人生首条推文力挺开源，“Kimi恐慌”成为风暴眼,黄仁勋人生首条推文力挺开源，“Kimi恐慌”成为风暴眼,[[这场由 Kimi K3 引发的“开源 vs 闭源”路线之争，或许才刚刚开始。 黄仁勋人生首条推文力挺开源，“Kimi恐慌”成为风暴眼]],这场由-kimi-k3-引发的-开源-vs-闭源-路线之争-或许才刚刚开始-黄仁勋人生首条推文力挺开源-kimi恐慌-成为风暴眼,AI for Research,ai_for_research,notes,9764,AI for Research; Career and Business Ideas; Finance and Investment; Research Tools and Methods,黄仁勋人生首条推文力挺开源，“Kimi恐慌”成为风暴眼 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3NTIyODUzNA==&mid=2649801411&idx=1&sn=1aae96fe3c444842633e5d1a4344f69d&chksm=86167f9e0f4ec4203098c87fd6c2b7028ff53f82aef2b54adcbf007ee721ec
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\ Trends in Plant Science - 点击育种：迈向可编程作物设计.md, Trends in Plant Science - 点击育种：迈向可编程作物设计,Trends in Plant Science | 点击育种：迈向可编程作物设计,[[ Trends in Plant Science - 点击育种：迈向可编程作物设计]],trends-in-plant-science-点击育种-迈向可编程作物设计,AI for Research,ai_for_research,article,10193,AI for Research; Maize Yield and Breeding; Plant Stress Resilience; Research Tools and Methods; Career and Business Ideas; Maize Genetic Transformation; Plant Phenotyping and Imaging,Trends in Plant Science | 点击育种：迈向可编程作物设计 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0Mjg5ODI1Ng==&mid=2247546272&idx=1&sn=0e7ef5cbaed198457c271da3fd13fd81&chksm=e8bd0f3294e856cbbbe7bed1634bb9d13de0ff1c9009ec29a
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点.md,Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点,Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点,[[Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点]],nature-communications-从拟南芥到玉米-ai模型实现跨物种转录因子结合预测-精准挖掘抗逆位点,AI for Research,ai_for_research,article,1936,AI for Research; Plant Stress Resilience; Research Tools and Methods; Bioinformatics Analysis; Career and Business Ideas; Maize Genetic Transformation; Maize Yield and Breeding; Plant Phenotyping and Imaging,公众号名称：植物生物技术Pbj 作者名称： 发布时间：2026-06-07 20:17 ![[llm-wikid/raw/assets/images/45e712b1682edc20d03d5c8ddaaf5fb5_MD5.png]] ![[llm-wikid/raw/assets/images/82872fb036964e8307edab0e9f9520cb_MD5.png]] 该研究开发了一个名为**DeepCistrome**的多
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\植物育种革命：从田间到工厂 把育种搬进工厂？中国农科院、华大、博瑞迪等11家单位参与的这个大胆构想-智种快讯.md,植物育种革命：从田间到工厂 把育种搬进工厂？中国农科院、华大、博瑞迪等11家单位参与的这个大胆构想-智种快讯,把育种搬进工厂？中国农科院、华大、博瑞迪等11家单位参与的这个大胆构想|智种快讯,[[植物育种革命：从田间到工厂 把育种搬进工厂？中国农科院、华大、博瑞迪等11家单位参与的这个大胆构想-智种快讯]],植物育种革命-从田间到工厂-把育种搬进工厂-中国农科院-华大-博瑞迪等11家单位参与的这个大胆构想-智种快讯,AI for Research,ai_for_research,notes,8502,AI for Research; Maize Yield and Breeding; Career and Business Ideas; Maize Genetic Transformation; Plant Phenotyping and Imaging; Plant Stress Resilience; Research Tools and Methods,把育种搬进工厂？中国农科院、华大、博瑞迪等11家单位参与的这个大胆构想|智种快讯 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3Mjg2MzM0MA==&mid=2653353580&idx=2&sn=d411b2cdae450dedc26bb18d20551c1f&chksm=85d85f5750e569bcb669aed3b2e4c2509d66face864ab9ac9
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！ 祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！.md,祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！ 祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！,祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！,[[祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！ 祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！]],祝贺-植物学领域-所有科研人员都去学一遍-以后将成为常态-祝贺-植物学领域-所有科研人员都去学一遍-以后将成为常态,AI for Research,ai_for_research,article,31310,AI for Research; Maize Genetic Transformation; Bioinformatics Analysis; Career and Business Ideas; Maize Yield and Breeding; Research Tools and Methods; Plant Phenotyping and Imaging,祝贺！植物学领域！所有科研人员都去学一遍，以后将成为常态！ 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzUzNzczODE4Mg==&mid=2247615555&idx=1&sn=94bcd3fbb8fbfc732199019a8fc8750a&chksm=fb7a09708e7b93b7a5221a8db530fc9de2c1a7ce2587dc27e5181d96fe5a
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De....md,🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De...,🤖 阿里清华论文获ICML杰出论文 | AI 每日快报 | 2026年07月06日,[[🤖 腾讯Hy3与阿里清华论文领衔，AI安全与市场波动并存 - AI 每日快报 - 2026年07月06日今日AI领域热点纷呈：腾讯混元Hy3正式版发布，阿里清华联合论文获ICML杰出论文奖，De...]],腾讯hy3与阿里清华论文领衔-ai安全与市场波动并存-ai-每日快报-2026年07月06日今日ai领域热点纷呈-腾讯混元hy3正式版发布-阿里清华联合论文获i,AI for Research,ai_for_research,article,4323,AI for Research; Finance and Investment; Research Tools and Methods,🤖 阿里清华论文获ICML杰出论文 | AI 每日快报 | 2026年07月06日 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI4NTcyMDM5MQ==&mid=2247483807&idx=1&sn=de3eba7a32356ed136c92caf604d02f5&chksm=ea358e2954dcd46815a9ea1a151a8e87d04f2f63ab439d6a
llm-wikid\raw\articles\科研\科研工具\高温表型工具\ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发.md, Crop-IRM：作物种质资源器官表型智能识别与管理系统研发,Crop-IRM：作物种质资源器官表型智能识别与管理系统研发,[[ Crop-IRM：作物种质资源器官表型智能识别与管理系统研发]],crop-irm-作物种质资源器官表型智能识别与管理系统研发,AI for Research,ai_for_research,notes,6654,AI for Research; Maize Yield and Breeding; Research Tools and Methods; Career and Business Ideas; Plant Phenotyping and Imaging,Crop-IRM：作物种质资源器官表型智能识别与管理系统研发 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI0Mjg5ODI1Ng==&mid=2247546012&idx=1&sn=a516fc3ff06e60b1c32933d271c38c70&chksm=e81b0ab6d9679c1af444216049e14dc1f90229243fe0c6d939da0dd80d9
llm-wikid\raw\articles\科研\科研工具\高温表型工具\本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质....md,本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质...,Theoretical and Applied Genetics丨AI 赋能植物育种：数字表型与育种方法革新,[[本文依托近二十年多作物AI育种实证案例，从高通量表型革新、AI分子育种、G×E×M互作建模、现存瓶颈与未来方向四大维度系统梳理AI在作物育种中的完整应用体系，为从事表型组、基因组、基因编辑、种质...]],本文依托近二十年多作物ai育种实证案例-从高通量表型革新-ai分子育种-g-e-m互作建模-现存瓶颈与未来方向四大维度系统梳理ai在作物育种中的完整应用体系-为,AI for Research,ai_for_research,article,6924,AI for Research; Maize Yield and Breeding; Plant Phenotyping and Imaging; Research Tools and Methods; Bioinformatics Analysis; Plant Stress Resilience; Maize Genetic Transformation,Theoretical and Applied Genetics丨AI 赋能植物育种：数字表型与育种方法革新 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA4NjkzMDgzMw==&mid=2649787241&idx=1&sn=1866627eb8787b0ea2649ccb6f8d3a0f&chksm=86eab81a18f86eb656670692d9d9a65e2b4
llm-wikid\raw\articles\科研\育种改良\南北学苑\ 2026.7.19 谢传晓 农业生物基因组育种-玉米与生猪之比较（南北学院）.md, 2026.7.19 谢传晓 农业生物基因组育种-玉米与生猪之比较（南北学院）,2026.7.19 谢传晓 农业生物基因组育种:玉米与生猪之比较（南北学院）,[[ 2026.7.19 谢传晓 农业生物基因组育种-玉米与生猪之比较（南北学院）]],2026-7-19-谢传晓-农业生物基因组育种-玉米与生猪之比较-南北学院,AI for Research,ai_for_research,notes,6138,AI for Research; Maize Yield and Breeding; Research Tools and Methods; Bioinformatics Analysis; Career and Business Ideas; Maize Genetic Transformation; Plant Phenotyping and Imaging; Plant Stress Resilience,2026.7.19 谢传晓 农业生物基因组育种:玉米与生猪之比较（南北学院） 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzkzODExMjczNQ==&mid=2247495344&idx=1&sn=2157f5a29a02d43d85b06e145a247121&chksm=c37d8a7341e2a2e8ca8677c4297b5a0b6d4ef69c126cd3a1045
llm-wikid\raw\clippings\bioinformatics_analysis\使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability.md,使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability,使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability,[[使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability]],使用gcta-greml-来估计snp-遗传力-snp-heritability,AI for Research,ai_for_research,notes,3151,AI for Research; Bioinformatics Analysis; Plant Phenotyping and Imaging; Research Tools and Methods,GWAS研究中发现的显著SNP只能解释人类群体中复杂性状很小一部分的遗传变异。那么剩余的遗传力在哪里？ 很多时候这部分遗传力并没有丢失，而是由于部分snp效应太小以至于无法达到显著水平而没有被检测到。 与单SNP关联检验相对，GCTA中的GREML（genome-based restricted maximum likelihood）方法使用线性混合模型（ linear mixed models ， LMMs），将 **全部SNP** 
llm-wikid\raw\clippings\maize_yield_and_breeding\Welcome to MaizeGDB.md,Welcome to MaizeGDB,Welcome to MaizeGDB,[[Welcome to MaizeGDB]],welcome-to-maizegdb,AI for Research,ai_for_research,notes,5072,AI for Research,"Welcome to MaizeGDB! **MaizeGDB is a community-oriented, long-term, federally funded informatics service to researchers focused on the crop plant and model organism Zea mays.** If you use MaizeGDB in your research, pleas"
llm-wikid\raw\clippings\research_tools_and_methods\极客笔记™ - 深入浅出打磨IT笔记.md,极客笔记™ - 深入浅出打磨IT笔记,极客笔记™ - 深入浅出打磨IT笔记,[[极客笔记™ - 深入浅出打磨IT笔记]],极客笔记-深入浅出打磨it笔记,AI for Research,ai_for_research,notes,5159,AI for Research; Plant Phenotyping and Imaging; Research Tools and Methods,"Android Camera 视频课件 - [Android Camera2 API 视频课件](https://deepinout.com/android-camera2-api/android-camera-architecture-intro.html ""Android Camera2 API详解"") Android Camera2 API详解 - [Android Camera性能分析专题](https://deepinout."
llm-wikid\raw\ideas\赚钱想法\品牌内容\https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说.md,https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说,AI从0到1做品牌 by @Cooper说,[[https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说]],https-my-feishu-cn-docx-ays2dnvtrodl3yxbuxzcq1einid-ai从0到1做品牌-by-cooper说,AI for Research,ai_for_research,notes,35352,AI for Research; Career and Business Ideas; Life and Health,AI从0到1做品牌 by @Cooper说 笔记同步助手 来源 [原文链接](https://my.feishu.cn/docx/AYs2dNvtrodL3YxBUxZcq1einId) 正文 AI从0到1做品牌 by @Cooper说 AI从0到1做品牌 by @Cooper说 CupBuddy / 好搭杯 品牌视觉资产设计 SOP 从一个普通杯子，建立完整品牌视觉系统的工作流文档 好大一杯，好搭一天 · 从品牌识别到落地资产的一套完
llm-wikid\raw\ideas\赚钱想法\品牌内容\https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词.md,https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词,Qiaomu Artist Style 即刻复制图片转风格提示词,[[https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词]],https-my-feishu-cn-docx-yoexdpewnotxztxihxac9bignkb-qiaomu-artist-style-即刻复制图片转风,AI for Research,ai_for_research,notes,139564,AI for Research; Career and Business Ideas,Qiaomu Artist Style 即刻复制图片转风格提示词 笔记同步助手 来源 [原文链接](https://my.feishu.cn/docx/YoexdpEWNoTXZtxIhxAc9BIGnkb) 正文 Qiaomu Artist Style 即刻复制图片转风格提示词 Qiaomu Artist Style 即刻复制图片转风格提示词 Qiaomu Artist Style 即刻复制图片转风格提示词 用途：上传任意图片，复制对
