group,source_path,target_path,bytes
科研,科研\科研工具\了解-可能用到\Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\Nature Communications - 从拟南芥到玉米：AI模型实现跨物种转录因子结合预测，精准挖掘抗逆位点.md,3908
科研,科研\科研工具\了解-可能用到\Nature Methods：杨建华-李斌-陈建军-屈良鹄合作开发新算法，构建RNA互作组百科全书.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\Nature Methods：杨建华-李斌-陈建军-屈良鹄合作开发新算法，构建RNA互作组百科全书.md,7688
科研,科研\科研工具\了解-可能用到\张锋最新论文：细胞命运工程平台，筛选出全新转录因子组合，让胚胎干细胞高效重编程为造血干-祖细胞.md,llm-wikid\raw\articles\科研\科研工具\了解-可能用到\张锋最新论文：细胞命运工程平台，筛选出全新转录因子组合，让胚胎干细胞高效重编程为造血干-祖细胞.md,11748
科研,科研\科研工具\生信工具\WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取.md,llm-wikid\raw\articles\科研\科研工具\生信工具\WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取.md,3733
科研,科研\科研工具\生信工具\微生信-在线绘制主成分分析图（Principal component analysis，PCA）.md,llm-wikid\raw\articles\科研\科研工具\生信工具\微生信-在线绘制主成分分析图（Principal component analysis，PCA）.md,5617
科研,科研\科研工具\高温表型工具\基于多光谱成像与分光光度法的植物生理特征提取—聚焦狭花柱属植物研究空白的系统综述.md,llm-wikid\raw\articles\科研\科研工具\高温表型工具\基于多光谱成像与分光光度法的植物生理特征提取—聚焦狭花柱属植物研究空白的系统综述.md,9516
科研,科研\科研工具\高温表型工具\很强的表型工具 CornPheno 2.0：让玉米果穗考种从“数得准”走向“看得全”.md,llm-wikid\raw\articles\科研\科研工具\高温表型工具\很强的表型工具 CornPheno 2.0：让玉米果穗考种从“数得准”走向“看得全”.md,17587
科研,科研\科研工具\高温表型工具\通用颜色面积分析工具 UCAA 发布 - 一张图片，自动统计颜色面积.md,llm-wikid\raw\articles\科研\科研工具\高温表型工具\通用颜色面积分析工具 UCAA 发布 - 一张图片，自动统计颜色面积.md,7705
科研,科研\育种改良\AI育种\1959年的技术，为什么成了AI育种基础设施？- 种业新说.md,llm-wikid\raw\articles\科研\育种改良\AI育种\1959年的技术，为什么成了AI育种基础设施？- 种业新说.md,8014
科研,科研\育种改良\南北学苑\2026.6.29 陆镇威  探究纳米颗粒对玉米耐热、抗旱性影响与育种思考（南北学院）.md,llm-wikid\raw\articles\科研\育种改良\南北学苑\2026.6.29 陆镇威  探究纳米颗粒对玉米耐热、抗旱性影响与育种思考（南北学院）.md,8807
科研,科研\育种改良\育种知识-病害-田间管理\玉米要高产离不开的“三遍药”.md,llm-wikid\raw\articles\科研\育种改良\育种知识-病害-田间管理\玉米要高产离不开的“三遍药”.md,4647
科研,科研\育种改良\育种知识-病害-田间管理\警惕！7月玉米病虫害高发期！褐斑病、顶腐病、玉米螟 ……一定要注意防治！.md,llm-wikid\raw\articles\科研\育种改良\育种知识-病害-田间管理\警惕！7月玉米病虫害高发期！褐斑病、顶腐病、玉米螟 ……一定要注意防治！.md,7239
科研,科研\育种改良\高蛋白玉米\【Nat Genetics】一石三鸟！华中农大严建兵团队发现高产、高蛋白、少施氮肥的“绿色”基因.md,llm-wikid\raw\articles\科研\育种改良\高蛋白玉米\【Nat Genetics】一石三鸟！华中农大严建兵团队发现高产、高蛋白、少施氮肥的“绿色”基因.md,9194
股票,股票\前沿消息\AI数据中心买光内存，手机电脑涨价潮开始.md,llm-wikid\raw\articles\股票\前沿消息\AI数据中心买光内存，手机电脑涨价潮开始.md,10444
股票,股票\前沿消息\世界模型正在重新定义“游戏”的价值.md,llm-wikid\raw\articles\股票\前沿消息\世界模型正在重新定义“游戏”的价值.md,22341
股票,股票\大牛博主学思路\对于两融余额的解读.md,llm-wikid\raw\articles\股票\大牛博主学思路\对于两融余额的解读.md,3408
股票,股票\大牛博主学思路\股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒.md,llm-wikid\raw\articles\股票\大牛博主学思路\股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒.md,2778
股票,股票\挖矿人\中国科学院理化所刘静-饶伟团队iScience：多功能铋基液态金属多孔材料 - Cell Press对话科学家.md,llm-wikid\raw\articles\股票\挖矿人\中国科学院理化所刘静-饶伟团队iScience：多功能铋基液态金属多孔材料 - Cell Press对话科学家.md,15749
赚钱想法,赚钱想法\Content extracted from webpage 飞书.md,llm-wikid\raw\ideas\赚钱想法\Content extracted from webpage 飞书.md,590
赚钱想法,赚钱想法\https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说.md,llm-wikid\raw\ideas\赚钱想法\https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说.md,45577
赚钱想法,赚钱想法\https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词.md,llm-wikid\raw\ideas\赚钱想法\https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词.md,377168
赚钱想法,赚钱想法\十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏.md,llm-wikid\raw\ideas\赚钱想法\十年前端三天的活被codex 3分钟干完了，天塌了-#ai #我在抖音聊科技 #当我开始使用codex #vibecoding #vibecoding大赏.md,1170
赚钱想法,赚钱想法\同步助手_2026-07-01.md,llm-wikid\raw\ideas\赚钱想法\同步助手_2026-07-01.md,493
赚钱想法,赚钱想法\生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag....md,llm-wikid\raw\ideas\赚钱想法\生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag....md,6369
赚钱想法,赚钱想法\生物专业找工作自救-思路打开.md,llm-wikid\raw\ideas\赚钱想法\生物专业找工作自救-思路打开.md,3968
赚钱想法,赚钱想法\用Codex设计视觉网站做造景推广.md,llm-wikid\raw\ideas\赚钱想法\用Codex设计视觉网站做造景推广.md,2202
赚钱想法,赚钱想法\用来给餐饮店生宣传菜品图#赚钱 https---zhuaizhuaiai.com-imagize2-shop- Imagize 2 小店出图网页.md,llm-wikid\raw\ideas\赚钱想法\用来给餐饮店生宣传菜品图#赚钱 https---zhuaizhuaiai.com-imagize2-shop- Imagize 2 小店出图网页.md,996
