path,stem,title,link,slug,category_title,category_slug,source_type,length,matched_categories,preview
llm-wikid\raw\clippings\bioinformatics_analysis\使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability.md,使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability,使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability,[[使用GCTA （GREML）来估计SNP-遗传力 SNP Heritability]],使用gcta-greml-来估计snp-遗传力-snp-heritability,AI for Research,ai_for_research,notes,3151,AI for Research; Bioinformatics Analysis; Plant Phenotyping and Imaging; Research Tools and Methods,GWAS研究中发现的显著SNP只能解释人类群体中复杂性状很小一部分的遗传变异。那么剩余的遗传力在哪里？ 很多时候这部分遗传力并没有丢失，而是由于部分snp效应太小以至于无法达到显著水平而没有被检测到。 与单SNP关联检验相对，GCTA中的GREML（genome-based restricted maximum likelihood）方法使用线性混合模型（ linear mixed models ， LMMs），将 **全部SNP** 
llm-wikid\raw\clippings\maize_yield_and_breeding\Welcome to MaizeGDB.md,Welcome to MaizeGDB,Welcome to MaizeGDB,[[Welcome to MaizeGDB]],welcome-to-maizegdb,AI for Research,ai_for_research,notes,5072,AI for Research,"Welcome to MaizeGDB! **MaizeGDB is a community-oriented, long-term, federally funded informatics service to researchers focused on the crop plant and model organism Zea mays.** If you use MaizeGDB in your research, pleas"
llm-wikid\raw\clippings\research_tools_and_methods\极客笔记™ - 深入浅出打磨IT笔记.md,极客笔记™ - 深入浅出打磨IT笔记,极客笔记™ - 深入浅出打磨IT笔记,[[极客笔记™ - 深入浅出打磨IT笔记]],极客笔记-深入浅出打磨it笔记,AI for Research,ai_for_research,notes,5159,AI for Research; Plant Phenotyping and Imaging; Research Tools and Methods,"Android Camera 视频课件 - [Android Camera2 API 视频课件](https://deepinout.com/android-camera2-api/android-camera-architecture-intro.html ""Android Camera2 API详解"") Android Camera2 API详解 - [Android Camera性能分析专题](https://deepinout."
llm-wikid\raw\ideas\赚钱想法\品牌内容\https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说.md,https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说,AI从0到1做品牌 by @Cooper说,[[https---my.feishu.cn-docx-AYs2dNvtrodL3YxBUxZcq1einId AI从0到1做品牌 by @Cooper说]],https-my-feishu-cn-docx-ays2dnvtrodl3yxbuxzcq1einid-ai从0到1做品牌-by-cooper说,AI for Research,ai_for_research,notes,35352,AI for Research; Career and Business Ideas; Life and Health,AI从0到1做品牌 by @Cooper说 笔记同步助手 来源 [原文链接](https://my.feishu.cn/docx/AYs2dNvtrodL3YxBUxZcq1einId) 正文 AI从0到1做品牌 by @Cooper说 AI从0到1做品牌 by @Cooper说 CupBuddy / 好搭杯 品牌视觉资产设计 SOP 从一个普通杯子，建立完整品牌视觉系统的工作流文档 好大一杯，好搭一天 · 从品牌识别到落地资产的一套完
llm-wikid\raw\ideas\赚钱想法\品牌内容\https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词.md,https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词,Qiaomu Artist Style 即刻复制图片转风格提示词,[[https---my.feishu.cn-docx-YoexdpEWNoTXZtxIhxAc9BIGnkb Qiaomu Artist Style 即刻复制图片转风格提示词]],https-my-feishu-cn-docx-yoexdpewnotxztxihxac9bignkb-qiaomu-artist-style-即刻复制图片转风,AI for Research,ai_for_research,notes,139564,AI for Research; Career and Business Ideas,Qiaomu Artist Style 即刻复制图片转风格提示词 笔记同步助手 来源 [原文链接](https://my.feishu.cn/docx/YoexdpEWNoTXZtxIhxAc9BIGnkb) 正文 Qiaomu Artist Style 即刻复制图片转风格提示词 Qiaomu Artist Style 即刻复制图片转风格提示词 Qiaomu Artist Style 即刻复制图片转风格提示词 用途：上传任意图片，复制对
llm-wikid\raw\ideas\赚钱想法\生图变现\生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag....md,生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag...,"GitHub - YouMind-OpenLab/ai-image-prompts-skill: AI Image Prompts — 10,000+ curated prompts for any model. Works with Nano Banana Pro, Nano Banana 2, Seedream 5.0, GPT Image 1.5, Midjourney, DALL-E, Flux, Stable Diffusion, and more.",[[生图用#赚钱-https---github.com-YouMind-OpenLab-ai-image-prompts-skill GitHub - YouMind-OpenLab-ai-imag...]],生图用-赚钱-https-github-com-youmind-openlab-ai-image-prompts-skill-github-youmind-op,AI for Research,ai_for_research,notes,5984,AI for Research; Career and Business Ideas; Maize Genetic Transformation,"GitHub - YouMind-OpenLab/ai-image-prompts-skill: AI Image Prompts — 10,000+ curated prompts for any model. Works with Nano Banana Pro, Nano Banana 2, Seedream 5.0, GPT Image 1.5, Midjourney, DALL-E, Flux, Stable Diffusio"
llm-wikid\raw\articles\科研\植物抗逆\耐旱\ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制.md, “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,“以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,[[ “以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制]],以菌抗旱-中国科学院在-science-旗下期刊发表研究论文-阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制,Bioinformatics Analysis,bioinformatics_analysis,article,3660,Bioinformatics Analysis; Plant Stress Resilience; AI for Research; Career and Business Ideas; Maize Yield and Breeding; Research Tools and Methods,“以菌抗旱”！中国科学院在《Science》旗下期刊发表研究论文，阐明根际微生物与植物激素信号通路互作调控植物抗旱新机制 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzIyODUxNzA1NQ==&mid=2247637704&idx=2&sn=fae36fc7f6be5dac65f92f7f852d8e32&chksm=e9bd4fce8557deee72021ef7f143c
llm-wikid\raw\articles\科研\科研工具\了解-可能用到\引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的....md,引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的...,Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的微生物–土壤–植物间通讯形式,[[引言植物生长于复杂且异质的土壤环境中，根系必须完成锚定植株、吸收水分和养分以及应对环境胁迫等多重任务。 Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的...]],引言植物生长于复杂且异质的土壤环境中-根系必须完成锚定植株-吸收水分和养分以及应对环境胁迫等多重任务-science-重磅-西北农林团队成果改写教科书-拓展植物,Bioinformatics Analysis,bioinformatics_analysis,article,2373,Bioinformatics Analysis; Plant Phenotyping and Imaging; Research Tools and Methods,Science 重磅！西北农林团队成果改写教科书！拓展植物向性理论框架，揭示一种此前未知的微生物–土壤–植物间通讯形式 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg4MTgyNjU0NA==&mid=2247496464&idx=1&sn=cfbd3c1aeb5b8c395a070535b23e309a&chksm=ce5f319a67ceefb4ae3979ee2d16ba
llm-wikid\raw\articles\科研\科研工具\生信工具\WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取.md,WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取,WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取,[[WGCNA、基因功能模块网络图及bulk转录组虚拟敲除代码自取]],wgcna-基因功能模块网络图及bulk转录组虚拟敲除代码自取,Bioinformatics Analysis,bioinformatics_analysis,article,2179,Bioinformatics Analysis; Research Tools and Methods; Career and Business Ideas,公众号名称：AgriPulse 作者名称：橙君 发布时间：2026-06-30 00:00 ![[llm-wikid/raw/assets/images/5f5f529ee3628e7e98fd8632f8032592_MD5.png||112]] ![[llm-wikid/raw/assets/images/33cb7ca072089c19dcfa2da912c60924_MD5.png||280]] ![[llm-wikid/raw
llm-wikid\raw\articles\科研\科研工具\生信工具\Yang Lab.md,Yang Lab,Convert MACH dosage data to PLINK binary PED format,[[Yang Lab]],yang-lab,Bioinformatics Analysis,bioinformatics_analysis,notes,218307,Bioinformatics Analysis; AI for Research; Research Tools and Methods,Overview --- About GCTA (Genome-wide Complex Trait Analysis) is a software package initially developed to estimate the proportion of phenotypic variance explained by all genome-wide SNPs for a complex trait but has been 
llm-wikid\raw\articles\科研\科研工具\生信工具\微生信-在线绘制主成分分析图（Principal component analysis，PCA）.md,微生信-在线绘制主成分分析图（Principal component analysis，PCA）,微生信-在线绘制主成分分析图（Principal component analysis，PCA）,[[微生信-在线绘制主成分分析图（Principal component analysis，PCA）]],微生信-在线绘制主成分分析图-principal-component-analysis-pca,Bioinformatics Analysis,bioinformatics_analysis,notes,4474,Bioinformatics Analysis; Maize Genetic Transformation; Research Tools and Methods,**[基础绘图](https://www.bioinformatics.com.cn/?keywords=%E5%9F%BA%E7%A1%80%E7%BB%98%E5%9B%BE)**- [饼图](https://www.bioinformatics.com.cn/?keywords=%E9%A5%BC%E5%9B%BE) - [线图](https://www.bioinformatics.com.cn/?keywords=%E7%BA
llm-wikid\raw\ideas\赚钱想法\求职转型\生物专业找工作自救-思路打开.md,生物专业找工作自救-思路打开,生物专业找工作自救-思路打开,[[生物专业找工作自救-思路打开]],生物专业找工作自救-思路打开,Career and Business Ideas,career_and_business_ideas,notes,2084,Career and Business Ideas; Research Tools and Methods; Maize Genetic Transformation,--- image_17c3 📅 2026-06-30 09:02:44 ![[llm-wikid/raw/assets/images/a5c77273842c932d8e3c17c60cd80102_MD5.jpg|image_17c39e28fed3be318935da0dca2c2b92.jpg]] --- 08:39 实习僧 !! AppStore 举报 得物食品保健运营实习生 150-200/天 ）上海 5天/周 ①3个月 本
llm-wikid\raw\ideas\赚钱想法\视觉网站\用Codex设计视觉网站做造景推广.md,用Codex设计视觉网站做造景推广,Excalidraw Data,[[用Codex设计视觉网站做造景推广]],用codex设计视觉网站做造景推广,Career and Business Ideas,career_and_business_ideas,notes,2143,Career and Business Ideas; AI for Research,==⚠  Switch to EXCALIDRAW VIEW in the MORE OPTIONS menu of this document. ⚠== You can decompress Drawing data with the command palette: 'Decompress current Excalidraw file'. For more info check in plugin settings under '
llm-wikid\raw\articles\股票\前沿消息\AI数据中心买光内存，手机电脑涨价潮开始.md,AI数据中心买光内存，手机电脑涨价潮开始,AI数据中心买光内存，手机电脑涨价潮开始,[[AI数据中心买光内存，手机电脑涨价潮开始]],ai数据中心买光内存-手机电脑涨价潮开始,Finance and Investment,finance_and_investment,notes,4681,Finance and Investment; AI for Research; Career and Business Ideas,公众号名称：DeepTech深科技 作者名称：胡巍巍 发布时间：2026-06-26 17:36 ![[llm-wikid/raw/assets/images/f94c32146c33a2bcf54f41e28957a735_MD5.png]] 近日，一向克制的苹果 CEO 库克用了一个十分少见的词：百年一遇。他在几天前接受《华尔街日报》采访时说 2026 年这场内存短缺的规模之大，是他干了 40 多年从没见过的。虽然苹果一直在努力消化
llm-wikid\raw\articles\股票\前沿消息\大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度.md,大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度,减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度,[[大改革 减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度]],大改革-减少一次性大额融资对市场扰动-证监会征求意见-优化再融资制度,Finance and Investment,finance_and_investment,notes,2689,Finance and Investment; Career and Business Ideas,减少一次性大额融资对市场扰动！证监会征求意见，优化再融资制度 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MjM5NDEzMTAwMA==&mid=2652687641&idx=1&sn=ed51541104acbb97633966894a6890e5&chksm=bc63714e359e064003e8796a01ce9be886e1f90df59f185479e94e467cf
llm-wikid\raw\articles\股票\前沿消息\很精彩的抱团剖析 A股四次抱团行情的启示.md,很精彩的抱团剖析 A股四次抱团行情的启示,A股四次抱团行情的启示,[[很精彩的抱团剖析 A股四次抱团行情的启示]],很精彩的抱团剖析-a股四次抱团行情的启示,Finance and Investment,finance_and_investment,notes,19046,Finance and Investment,A股四次抱团行情的启示 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=Mzg3NzYwMzU1MQ==&mid=2247589442&idx=1&sn=494feb8e757e89e489712f15b5373bde&chksm=cee58875e2545d324577802227ff26397c3c867146cf7f2c3a2ea4e388de2b9d96a253af2b5f&m
llm-wikid\raw\articles\股票\前沿消息\股票大调整 5%调至10%！A股重大调整！下周一，正式实施.md,股票大调整 5%调至10%！A股重大调整！下周一，正式实施,5%调至10%！A股重大调整！下周一，正式实施,[[股票大调整 5%调至10%！A股重大调整！下周一，正式实施]],股票大调整-5-调至10-a股重大调整-下周一-正式实施,Finance and Investment,finance_and_investment,notes,3840,Finance and Investment; AI for Research,5%调至10%！A股重大调整！下周一，正式实施 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzA3NjM5MjIwOQ==&mid=2652271417&idx=1&sn=6091a21a7e78b99a970e9db8da88bf46&chksm=85e6c2c755977759d93a3cabf3a0013afcd77e214a4144ae34b921d3349e78fc9e
llm-wikid\raw\articles\股票\大牛博主学思路\对于两融余额的解读.md,对于两融余额的解读,对于两融余额的解读,[[对于两融余额的解读]],对于两融余额的解读,Finance and Investment,finance_and_investment,notes,1338,Finance and Investment,公众号名称：全能的野人干货记录 作者名称：野人哥粉 发布时间：2026-06-29 08:18 跟粉丝说一下两融余额，很多粉丝问怎么看两融余额，我这里讲我自己的理解力，就是两融余额现在已经达到了3万亿，也就是说我们现在每天成交量3.6万3.7万亿，这种里面两融是占很大一部分。 两融我记得去年的时候是到了2.7万亿的时候，市场来了一波大调整之后，今年又稳步又到了3万亿，3万亿的年融余额是比较高的，确实是比较高的。 所以我再给你讲一下流向，
llm-wikid\raw\articles\股票\大牛博主学思路\股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒.md,股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒,股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒,[[股民就如一味中药，熬一熬发现更苦#金融#财经#股民#股市#男人要想混得好头发必须往后倒]],股民就如一味中药-熬一熬发现更苦-金融-财经-股民-股市-男人要想混得好头发必须往后倒,Finance and Investment,finance_and_investment,notes,1251,Finance and Investment; Life and Health,**作者：**全能的野人 核心观点 周末市场上出现了许多与科技相关的利好消息，几乎看不到明显利空。因此，不少股民、宝妈宝爸以及关注者可能会期待“明天会更好”。 ![[llm-wikid/raw/assets/images/0588c9a43c73cbc0842746f4f4012a43_MD5.jpg|视频中关于周末科技利好与股民心态的画面]] 视频中关于周末科技利好与股民心态的画面 对股民心态的调侃 作者用幽默的方式提醒：股市中的“明
llm-wikid\raw\articles\股票\大牛博主学思路\解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望.md,解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望,刘备教授：下半年布局展望,[[解读猫笔刀（招财大牛猫）、刘备教授、林奇等大V文章，穿插价值投资思想 刘备教授：下半年布局展望]],解读猫笔刀-招财大牛猫-刘备教授-林奇等大v文章-穿插价值投资思想-刘备教授-下半年布局展望,Finance and Investment,finance_and_investment,notes,2741,Finance and Investment; AI for Research; Career and Business Ideas,刘备教授：下半年布局展望 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzAwOTI0MTQyNg==&mid=2247484630&idx=1&sn=8e494fd74b512cddbe63a570d6d8f58b&chksm=9a2806340032a137c45e32a4f823a4adf9e1f6fc16de38aadd349977ad7bff4afab77c5828b1&
llm-wikid\raw\articles\股票\每日盘前消息记录\ 7月3日盘前干货.md, 7月3日盘前干货,7月3日盘前干货,[[ 7月3日盘前干货]],7月3日盘前干货,Finance and Investment,finance_and_investment,notes,2881,Finance and Investment; AI for Research; Career and Business Ideas; Life and Health,7月3日盘前干货 笔记同步助手 来源 [原文链接](https://mp.weixin.qq.com/s?__biz=MzI4NDEzMDk0OQ==&mid=2650556945&idx=1&sn=1968363796ab34d33934ce5714b6f450&chksm=f2d6bb4602c9bdee8371c4b1772e24849e44491bea171d58a9a8880695a2853857bf3015d190&mpsh
